id,type_object_name,people_person_gender,people_person_date_of_birth,education_education_degree,people_person_nationality,type_object_description
e048baf9-ccf8-8215-e688-a31fafedc1fd,罗龙,男,1956,博士,中国,罗龙，男，1956年出生，中国国籍，经济学博士。曾任中国社会科学院工业经济研究所助理研究员，世界银行驻中国代表处业务专员，对外经济贸易大学讲师，国务院发展研究中心研究人员，对外经济贸易大学副研究员、研究室主任，广西南宁市副市长，广西壮族自治区人民政府发展研究中心副主任，宏利金融全球助理副总裁兼驻华首席代表，现任美国亚富兴业有限公司董事总经理。
58a41da2-e400-00bd-ea70-999acf7be8f3,李兆良,男,1965,硕士研究生,中国,李兆良，男，浙江温岭人，1965年出生，硕士学历，经济师，现任广东华瀚律师事务所主任、合伙人，10年执业律师经验，曾任职于中国平安保险公司，在保险、金融、投资、海事、房地产证券等领域的诉讼及非诉讼方面，有丰富的法律理论研究及实践经验。
09f0825e-4a25-5fc3-ebe1-aad9cf20d4ee,王魁芝,女,1938-12, ,中国,王魁芝，女，辽宁人，1938年12月出生，中共党员，高级经济师，1962年参加工作，1998年11月退休，退休前曾任中国人民保险公司深圳分公司党组副书记、常务副总经理。从事金融工作多年，先后在韶关市人民银行及韶关保险公司历任主任、副科长、副经理等职。历任三届深圳发展银行监事会副主席。
0fd6b781-5e9e-c085-882d-7eadb40a24e1,黄守岩,男, , ,中国, 
ea417d0a-4fe3-b870-4fdb-e96e3cce967f,吴正章,男, , ,中国, 
f8e52092-4582-720d-2569-2184ff52c6f6,仇卫平,男,1960-08,本科,中国,仇卫平，男，1960年8月出生，汉族，浙江乐清人，中共党员，经济师，中央财经大学金融专业本科毕业，学士学位，浙江大学德语培训中心两年学习毕业。曾任中国人民银行浙江省分行信贷审查员，工商银行浙江省分行信托投资公司国际结算员、业务部主任，工商银行浙江省分行国际业务部科长，1992年7月调入深圳发展银行，先后担任深圳发展银行上步支行信贷部主任，总行信贷部室副主任级审批员，布吉支行副行长（主持工作），发展大厦支行行长，总行国际业务部、离岸部总经理，华侨城支行行长，总行批发业务部、公司业务部总经理，南京分行行长，2005年3月至今担任上海分行行长。
5c155c85-734d-d88c-29c2-78525831afd9,叶淑虹,女, , , , 
856ec898-957d-5e94-8f89-072d2bb6be2c,肖耿,男,1963,博士,中国,肖耿先生，股东代表监事候选人，1963年出生，经济学博士，现任清华-布鲁金斯公共政策研究中心主任及美国布鲁金斯学会资深研究员，同时担任2007年由美国哥伦比亚大学及麦克阿瑟基金会发起的“国际发展专业人员教育委员会”的委员。肖耿博士在香港大学自1992年开始任教15年，1996年获聘终身教授，还是香港大学中国与全球发展研究所的创始人之一并任副所长。除在港大任教外，肖耿博士曾任世界银行、联合国开发署顾问及哈佛国际发展研究院访问学者及联席研究员。从2000年到2003年，肖耿就职于香港证监会并任顾问及研究部主任。肖耿博士的研究领域集中在中国企业改革、香港与中国大陆资本市场发展、及中国宏观与汇率政策。除了许多学术著作外，肖博士也在《财经杂志》、《南方周末》、《亚洲华尔街日报》、《远东经济评论》等公共政策研究报刊发表文章。
b2a4e69e-bb96-e756-5848-8cebd6edbee0,康典,男,1948,硕士研究生,中国,康典先生，中国国籍（香港永久居民），康典先生自2009年12月28日起担任新华人寿保险股份有限公司董事长、执行董事，并自2010年1月起兼任资产管理公司董事长。在加入新华人寿保险股份有限公司之前，康先生曾担任深圳发展银行股份有限公司监事会主席、时瑞投资管理有限公司董事长、香港粤海企业（集团）有限公司董事和副总经理、粤海金融控股公司董事长及粤海证券有限公司董事长、中国包装总公司副总经理、中国农村信托投资公司副总经理等职。康先生现兼任银建国际实业有限公司独立非执行董事。康先生于1982年毕业于北京钢铁学院，并于1984年获得中国社会科学院研究生院经济学硕士学位。
544f9352-90d9-55b3-d86d-783439eb5202,马黎民,男, , , , 
